Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
Zee Entertainment Enterprises Ltd,ZEEL,Communication Services,TV Channels & Broadcasters,10122.91417,71.59062353,583.9,7.144132154,10872.8,230.3,714.4,130.5,1.472120158,1.309580592,3.529159749,0.948856628,0.021181296,102.78
Intellect Design Arena Ltd,INTELLECT,Information Technology,Software Services,10070.91881,31.35501979,237.19,16.16743474,2451.14,44.3,410.15,172.96,23.56954322,14.21270156,18.1449551,0.475511981,0.018073223,728
G R Infraprojects Ltd,GRINFRA,Industrials,Construction & Engineering,10068.24745,7.606484732,-1710.51,-5.743223618,7602.4,3816.76,-1592.4,118.11,136.8966339,19.08977302,20.8452015,,0.502046722,1030.5
Prudent Corporate Advisory Services Ltd,PRUDENT,Financials,Asset Management,10061.82324,72.51241885,144.78,19.74308786,481.35,20.32,149.6,4.82,33.51153342,33.38305346,36.4483232,0.082304527,0.042214605,2361.8
Choice International Ltd,CHOICEIN,Financials,Investment Banking & Brokerage,10042.67165,76.74363174,-164.29,-0.428296772,640.22,455.46,-148.31,15.98,6.569227641,23.32017571,20.11414331,,0.711411702,501.95
Tega Industries Ltd,TEGA,Industrials,Industrial Machinery,10037.54432,51.77728424,252.14,14.12562101,1191.82,308.01,252.14,0,29.17609718,17.3026718,20.59189366,0.132573247,0.258436677,1493.15
Raymond Ltd,RAYMOND,Consumer Discretionary,Apparel & Accessories,9976.725021,6.091763663,325.62,10.10617541,5055.26,4181.06,533.26,207.64,148.5887544,40.74365239,26.18764728,0.667066907,0.827071209,1449.4
Waaree Renewable Technologies Ltd,WAAREERTL,Utilities,Renewable Energy,9898.211727,66.82111474,116,152.3574005,232.03,41.18,126.8,10.8,14.22798543,93.44856954,72.77434915,0.105220284,0.17747705,922.1
Saregama India Ltd,SAREGAMA,Communication Services,Movies & TV Serials,9897.245243,50.09234357,0.98,18.61098027,1472.57,5.43,93.25,92.27,9.91099228,14.02236282,15.77638321,0.779245074,0.003687431,520.65
Sapphire Foods India Ltd,SAPPHIRE,Consumer Discretionary,Restaurants & Cafes,9865.703101,186.8504375,63.63,17.2311777,1339.81,1163.92,448.75,385.12,1.659764642,4.071372392,7.140110189,,0.868720192,300.6
Safari Industries (India) Ltd,SAFARI,Consumer Discretionary,Apparel & Accessories,9813.729275,55.82008575,105.69,12.82429882,823.47,146.26,216.92,111.23,36.55481371,28.1478398,26.27758038,0.198771385,0.177614242,1960
Home First Finance Company India Ltd,HOMEFIRST,Financials,Home Financing,9784.534421,32.00384137,-1915.68,-145.3448424,2121.48,7302.1,-1907.68,8,34.63716294,15.52393864,4.246962398,0.307582308,3.441983898,1027.8
Va Tech Wabag Ltd,WABAG,Utilities,Water Management,9735.289599,39.6388013,121.6,4.39477246,1823.9,288.9,133.5,11.9,39.49160794,14.45343534,16.58193842,,0.158396842,1490.6
Data Patterns (India) Ltd,DATAPATTNS,Industrials,Aerospace & Defense Equipments,9731.693331,53.56207458,52.18,13.00085917,1324.21,3.5,139.38,87.2,32.45393338,14.58601769,18.74832285,0.373928551,0.002643085,1729.45
Sammaan Capital Ltd,SAMMAANCAP,Financials,Home Financing,9727.835628,8.010470794,-181.98,53.71627128,19791.9,48493.42,-123.28,58.7,19.6945622,6.537211515,2.711484991,1.501422458,2.450164966,112.89
Garware Hi-Tech Films Ltd,GRWRHITECH,Materials,Commodity Chemicals,9726.590234,47.84353288,155.28,13.59971147,2044.8,0,172.11,16.83,87.50712475,10.42398388,13.41897421,0.238854454,0,3913.65
Brookfield India Real Estate Trust,BIRET,Real Estate,Real Estate,9717.19003,411.9198826,1414.83,0,12261.34,12063.28,1432.83,18,0.609425063,0.229083839,3.833988142,8.020593059,0.98384679,291.98
RHI Magnesita India Ltd,RHIM,Materials,Cement,9699.371979,-96.54959167,188.46,8.30772763,3845.72,486.65,270.6,82.14,-5.093058108,-2.943399764,1.185395472,0.532254631,0.126543274,465.9
Happiest Minds Technologies Ltd,HAPPSTMNDS,Information Technology,IT Services & Consulting,9699.015794,39.04752927,202.26,15.02252634,1480.24,512.19,212.56,10.3,16.98143631,21.42161048,22.60190193,0.885438242,0.346018213,637.85
SBFC Finance Ltd,SBFC,Financials,Specialized Finance,9690.088898,40.86748302,-1167.06,0,2778.07,3996.02,-1155.17,11.89,2.406257018,10.52573169,4.659474437,,1.438415879,90.08
Reliance Infrastructure Ltd,RELINFRA,Utilities,Power Infrastructure,9640.376611,-5.992799355,3070.41,13.53146239,13858.12,9895.29,4097.47,1027.06,-42.97609429,-11.56837879,6.896284013,,0.714042742,237.8
INOX India Ltd,INOXINDIA,Industrials,Industrial Machinery,9596.424855,48.9613513,24.17,21.18134238,649.07,16.14,125.59,101.42,21.59458373,32.70618664,38.74231595,1.040385889,0.024866347,1031.8
PVR INOX Ltd,PVRINOX,Communication Services,Theatres,9592.663288,-299.7707277,1344.6,6.390730997,7323.2,8303.5,1979,634.4,-3.263611709,-0.43677957,5.166097571,,1.133862246,947.7
